forests_2000,forests_2020,trend,forest_loss,desertification_risk,predicted_desertification_risk
1.9,1.9,0.0,86.2,0.4629430719656284,0.4613589432872821
28.1,28.8,2.5,83.7,0.4495166487647691,0.4471872328308074
0.7,0.8,14.3,71.9,0.38614393125671326,0.38415204006505854
88.7,85.7,-3.4,89.60000000000001,0.4812030075187971,0.48372678760628884
34.0,34.0,0.0,86.2,0.4629430719656284,0.4607121931915569
62.3,53.4,-14.3,100.5,0.5397422126745436,0.535550625624598
61.1,61.1,0.0,86.2,0.4629430719656284,0.4631604905198
21.5,18.5,-14.0,100.2,0.5381310418904405,0.5362253976734456
12.2,10.4,-14.8,101.0,0.5424274973147154,0.5412416922115603
11.7,11.5,-1.7,87.9,0.4720730397422127,0.46997388577834076
2.3,2.3,0.0,86.2,0.4629430719656284,0.46132711895684675
17.2,17.4,1.2,85.0,0.45649838882921595,0.45408268187844214
46.5,47.3,1.7,84.5,0.4538131041890441,0.4527128777190067
12.0,13.7,14.2,72.0,0.3866809881847476,0.3841754840670716
50.9,50.9,0.0,86.2,0.4629430719656284,0.46192634129457255
0.5,0.9,80.0,6.200000000000003,0.03329752953813106,0.051553539482732336
14.8,14.5,-2.0,88.2,0.4736842105263158,0.4714674192654459
14.7,14.7,0.0,86.2,0.4629430719656284,0.46063567433552943
40.8,43.2,5.9,80.3,0.4312567132116004,0.4302770848505729
22.0,22.8,3.6,82.60000000000001,0.44360902255639106,0.44114711116076577
64.0,56.0,-12.5,98.7,0.5300751879699248,0.526320996482616
36.7,27.8,-24.3,110.5,0.5934479054779807,0.5904514083472606
18.5,18.5,0.0,86.2,0.4629430719656284,0.46053933742470876
65.5,71.4,9.0,77.2,0.41460794844253496,0.4199982439180302
50.9,46.9,-7.9,94.10000000000001,0.5053705692803437,0.5027120534157475
5.9,5.9,0.0,86.2,0.4629430719656284,0.4610673070919148
41.2,42.7,3.6,82.60000000000001,0.44360902255639106,0.4422930540125515
31.1,26.9,-13.5,99.7,0.5354457572502686,0.5329128571770018
65.9,59.4,-9.9,96.10000000000001,0.5161117078410312,0.5131665573460044
24.5,24.1,-1.6,87.8,0.4715359828141783,0.46909585937674236
75.3,72.1,-4.2,90.4,0.485499462943072,0.48562759408758793
30.5,35.9,17.7,68.5,0.3678839957035446,0.3672648189914892
26.4,22.7,-14.0,100.2,0.5381310418904405,0.5359008748549566
7.6,10.9,43.4,42.800000000000004,0.22986036519871111,0.23074923195176378
9.9,11.3,14.1,72.10000000000001,0.387218045112782,0.3847298484383458
61.1,45.7,-25.2,111.4,0.5982814178302901,0.5918860640259699
45.7,43.0,-5.9,92.10000000000001,0.49462943071965637,0.4921929615696382
38.8,38.7,-0.3,86.5,0.4645542427497315,0.4625282011372883
53.9,53.0,-1.7,87.9,0.4720730397422127,0.47092180434087394
36.8,35.8,-2.7,88.9,0.47744360902255645,0.4751158421479088
5.0,3.4,-32.0,118.2,0.6348012889366274,0.6355918552557885
21.3,24.5,15.0,71.2,0.38238453276047263,0.38027398954769376
18.8,23.3,23.9,62.300000000000004,0.3345864661654136,0.33305741192808946
56.5,53.3,-5.7,91.9,0.4935553168635876,0.4915469482759275
22.4,17.7,-21.0,107.2,0.5757250268528464,0.5741423028250513
65.0,64.3,-1.1,87.3,0.46885069817400643,0.4691656251016093
64.9,65.0,0.2,86.0,0.46186895810955964,0.46272391244534405
