forests_2000,forests_2020,trend,forest_loss,desertification_risk,predicted_risk
1.9,1.9,0.0,86.2,0.4629430719656284,0.46177340992367777
28.1,28.8,2.5,83.7,0.4495166487647691,0.44752396518404136
0.7,0.8,14.3,71.9,0.38614393125671326,0.3832755122499404
88.7,85.7,-3.4,89.60000000000001,0.4812030075187971,0.4818790105413426
34.0,34.0,0.0,86.2,0.4629430719656284,0.4611356718206828
62.3,53.4,-14.3,100.5,0.5397422126745436,0.5378799236936537
61.1,61.1,0.0,86.2,0.4629430719656284,0.46207790640447627
21.5,18.5,-14.0,100.2,0.5381310418904405,0.537848457848736
12.2,10.4,-14.8,101.0,0.5424274973147154,0.5428631789195502
11.7,11.5,-1.7,87.9,0.4720730397422127,0.4707373429764377
2.3,2.3,0.0,86.2,0.4629430719656284,0.46175433573596875
17.2,17.4,1.2,85.0,0.45649838882921595,0.4546699393334712
46.5,47.3,1.7,84.5,0.4538131041890441,0.4522881284395469
12.0,13.7,14.2,72.0,0.3866809881847476,0.3836276132924641
50.9,50.9,0.0,86.2,0.4629430719656284,0.4615464356776868
0.5,0.9,80.0,6.200000000000003,0.03329752953813106,0.04381113767894973
14.8,14.5,-2.0,88.2,0.4736842105263158,0.47228400419195815
14.7,14.7,0.0,86.2,0.4629430719656284,0.4613042353839818
40.8,43.2,5.9,80.3,0.4312567132116004,0.429557827914674
22.0,22.8,3.6,82.60000000000001,0.44360902255639106,0.44150518404189426
64.0,56.0,-12.5,98.7,0.5300751879699248,0.5283021030039525
36.7,27.8,-24.3,110.5,0.5934479054779807,0.5928497347896862
18.5,18.5,0.0,86.2,0.4629430719656284,0.4612199337194357
65.5,71.4,9.0,77.2,0.41460794844253496,0.41573053216325007
50.9,46.9,-7.9,94.10000000000001,0.5053705692803437,0.5037687637749253
5.9,5.9,0.0,86.2,0.4629430719656284,0.4615956656206093
41.2,42.7,3.6,82.60000000000001,0.44360902255639106,0.44189322353226235
31.1,26.9,-13.5,99.7,0.5354457572502686,0.5345783701009222
65.9,59.4,-9.9,96.10000000000001,0.5161117078410312,0.5145065459297795
24.5,24.1,-1.6,87.8,0.4715359828141783,0.46987130394608534
75.3,72.1,-4.2,90.4,0.485499462943072,0.48497779960583826
30.5,35.9,17.7,68.5,0.3678839957035446,0.3656597213033485
26.4,22.7,-14.0,100.2,0.5381310418904405,0.537558740178526
7.6,10.9,43.4,42.800000000000004,0.22986036519871111,0.2270100785003601
9.9,11.3,14.1,72.10000000000001,0.387218045112782,0.3841668160472129
61.1,45.7,-25.2,111.4,0.5982814178302901,0.5959373481570495
45.7,43.0,-5.9,92.10000000000001,0.49462943071965637,0.49304083354502815
38.8,38.7,-0.3,86.5,0.4645542427497315,0.46280829829942943
53.9,53.0,-1.7,87.9,0.4720730397422127,0.4707046000920631
36.8,35.8,-2.7,88.9,0.47744360902255645,0.47576743639143715
5.0,3.4,-32.0,118.2,0.6348012889366274,0.6383039238384343
21.3,24.5,15.0,71.2,0.38238453276047263,0.3795321580602126
18.8,23.3,23.9,62.300000000000004,0.3345864661654136,0.3314117222546433
56.5,53.3,-5.7,91.9,0.4935553168635876,0.4920655340569848
22.4,17.7,-21.0,107.2,0.5757250268528464,0.5761152062059388
65.0,64.3,-1.1,87.3,0.46885069817400643,0.46809491914200396
64.9,65.0,0.2,86.0,0.46186895810955964,0.46131103195247525
56.0,59.4,6.1,80.10000000000001,0.43018259935553177,0.42962423666676364
16.0,8.9,-44.4,130.6,0.7013963480128894,0.7043394597533802
33.7,34.6,2.7,83.5,0.44844253490870034,0.4465225276347489
22.7,31.2,37.4,48.800000000000004,0.2620837808807734,0.26036048908658294
0.2,0.2,0.0,86.2,0.4629430719656284,0.461857735563366
18.6,18.7,0.5,85.7,0.4602577873254565,0.458479231751337
34.1,34.7,1.8,84.4,0.45327604726100973,0.45139879393207893
53.6,50.1,-6.5,92.7,0.49785177228786254,0.49631152634287606
63.5,55.6,-12.4,98.60000000000001,0.5295381310418905,0.5277918574628707
14.3,15.7,9.8,76.4,0.41031149301826,0.40764035298158235
