forests_2000,forests_2020,trend,forest_loss,desertification_risk,predicted_risk
1.9,1.9,0.0,86.2,0.4629430719656284,0.4610059542095833
28.1,28.8,2.5,83.7,0.4495166487647691,0.4456403794435269
0.7,0.8,14.3,71.9,0.38614393125671326,0.38097496188469526
88.7,85.7,-3.4,89.60000000000001,0.4812030075187971,0.4817758303679649
34.0,34.0,0.0,86.2,0.4629430719656284,0.4593399592149514
62.3,53.4,-14.3,100.5,0.5397422126745436,0.5353836840480648
61.1,61.1,0.0,86.2,0.4629430719656284,0.46073479459171396
21.5,18.5,-14.0,100.2,0.5381310418904405,0.5378648394568192
12.2,10.4,-14.8,101.0,0.5424274973147154,0.5436447984982146
11.7,11.5,-1.7,87.9,0.4720730397422127,0.46976702748001054
2.3,2.3,0.0,86.2,0.4629430719656284,0.46096750776370604
17.2,17.4,1.2,85.0,0.45649838882921595,0.4531444819046463
46.5,47.3,1.7,84.5,0.4538131041890441,0.45048394531954844
12.0,13.7,14.2,72.0,0.3866809881847476,0.38082819669561596
50.9,50.9,0.0,86.2,0.4629430719656284,0.45980921873415953
0.5,0.9,80.0,6.200000000000003,0.03329752953813106,0.05491271458266467
14.8,14.5,-2.0,88.2,0.4736842105263158,0.4712271268270512
14.7,14.7,0.0,86.2,0.4629430719656284,0.46000218078306826
40.8,43.2,5.9,80.3,0.4312567132116004,0.427634401298821
22.0,22.8,3.6,82.60000000000001,0.44360902255639106,0.4396113449678837
64.0,56.0,-12.5,98.7,0.5300751879699248,0.5258879589715609
36.7,27.8,-24.3,110.5,0.5934479054779807,0.5921849146006594
18.5,18.5,0.0,86.2,0.4629430719656284,0.45978937487195026
65.5,71.4,9.0,77.2,0.41460794844253496,0.4164001441108292
50.9,46.9,-7.9,94.10000000000001,0.5053705692803437,0.5018767506782806
5.9,5.9,0.0,86.2,0.4629430719656284,0.4606429423317403
41.2,42.7,3.6,82.60000000000001,0.44360902255639106,0.4399827800072132
31.1,26.9,-13.5,99.7,0.5354457572502686,0.5338424303684564
65.9,59.4,-9.9,96.10000000000001,0.5161117078410312,0.512274211990143
24.5,24.1,-1.6,87.8,0.4715359828141783,0.4684198041407344
75.3,72.1,-4.2,90.4,0.485499462943072,0.4837709136698854
30.5,35.9,17.7,68.5,0.3678839957035446,0.3632403712404958
26.4,22.7,-14.0,100.2,0.5381310418904405,0.5372108820564309
7.6,10.9,43.4,42.800000000000004,0.22986036519871111,0.2238440833727668
9.9,11.3,14.1,72.10000000000001,0.387218045112782,0.38141341286171004
61.1,45.7,-25.2,111.4,0.5982814178302901,0.5925674337462024
45.7,43.0,-5.9,92.10000000000001,0.49462943071965637,0.4912612045896983
38.8,38.7,-0.3,86.5,0.4645542427497315,0.46097255789162755
53.9,53.0,-1.7,87.9,0.4720730397422127,0.46896470441207966
36.8,35.8,-2.7,88.9,0.47744360902255645,0.47406784278042957
5.0,3.4,-32.0,118.2,0.6348012889366274,0.6419461758564188
21.3,24.5,15.0,71.2,0.38238453276047263,0.3767405478553764
18.8,23.3,23.9,62.300000000000004,0.3345864661654136,0.3281584762335768
56.5,53.3,-5.7,91.9,0.4935553168635876,0.49017827782684087
22.4,17.7,-21.0,107.2,0.5757250268528464,0.5768047114767265
65.0,64.3,-1.1,87.3,0.46885069817400643,0.46683298164816517
64.9,65.0,0.2,86.0,0.46186895810955964,0.4602396550522335
56.0,59.4,6.1,80.10000000000001,0.43018259935553177,0.428573739589239
16.0,8.9,-44.4,130.6,0.7013963480128894,0.7079358614143741
33.7,34.6,2.7,83.5,0.44844253490870034,0.44458985342958246
22.7,31.2,37.4,48.800000000000004,0.2620837808807734,0.25820286223988076
0.2,0.2,0.0,86.2,0.4629430719656284,0.46117486557048976
18.6,18.7,0.5,85.7,0.4602577873254565,0.45698779899996406
34.1,34.7,1.8,84.4,0.45327604726100973,0.44951112889633754
53.6,50.1,-6.5,92.7,0.49785177228786254,0.4944220472179134
63.5,55.6,-12.4,98.60000000000001,0.5295381310418905,0.5254144971608373
14.3,15.7,9.8,76.4,0.41031149301826,0.4052376667016872
0.2,0.3,50.0,36.2,0.19441460794844256,0.19136550645229927
63.8,63.8,0.0,86.2,0.4629430719656284,0.4610738507664753
40.8,44.4,8.8,77.4,0.4156820622986037,0.4121407675120732
55.3,50.3,-9.0,95.2,0.5112781954887219,0.5076994558152724
0.1,0.0,-100.0,186.2,1.0,0.9935022116500268
32.5,28.2,-13.2,99.4,0.5338345864661654,0.5320259171823113
93.2,87.3,-6.3,92.5,0.4967776584317938,0.4958975287999011
9.2,8.7,-5.4,91.60000000000001,0.4919441460794845,0.49085817168662327
52.8,56.1,6.3,79.9,0.429108485499463,0.4269971628846112
27.5,28.9,5.1,81.10000000000001,0.43555316863587545,0.431328901157368
16.4,15.1,-7.9,94.10000000000001,0.5053705692803437,0.504256657921586
0.1,0.1,0.0,86.2,0.4629430719656284,0.4611850837023184
55.1,62.4,13.2,73.0,0.39205155746509135,0.39229192648755196
73.7,73.7,0.0,86.2,0.4629430719656284,0.46267617466361666
27.9,31.5,12.9,73.3,0.3936627282491944,0.3887339808426845
97.7,96.6,-1.1,87.3,0.46885069817400643,0.47358051079249963
42.8,43.1,0.7,85.5,0.45918367346938777,0.4556675931572636
92.0,91.3,-0.8,87.0,0.4672395273899034,0.47063544369379845
35.3,24.0,-32.0,118.2,0.6348012889366274,0.6342436474904527
39.7,40.6,2.3,83.9,0.45059076262083786,0.44693636135487136
32.5,32.7,0.6,85.60000000000001,0.45972073039742223,0.4560585355278141
38.9,35.1,-9.8,96.0,0.5155746509129968,0.5127408255917668
27.9,30.3,8.6,77.60000000000001,0.4167561761546725,0.41215292048717994
52.1,52.1,0.0,86.2,0.4629430719656284,0.459890348450679
42.8,44.4,3.7,82.5,0.44307196562835666,0.43954833205560256
44.4,51.9,16.9,69.30000000000001,0.3721804511278196,0.37045752332732734
39.3,32.9,-16.3,102.5,0.550483351235231,0.5481866304913403
2.9,5.4,86.2,0.0,0.0,0.029750854034088392
28.2,25.2,-10.6,96.8,0.5198711063372717,0.5181238716197009
76.4,70.4,-7.9,94.10000000000001,0.5053705692803437,0.5022649240066894
94.3,93.6,-0.7,86.9,0.466702470461869,0.47091415144041804
13.8,12.6,-8.7,94.9,0.5096670247046188,0.5090294819098636
60.6,56.8,-6.3,92.5,0.4967776584317938,0.4934371926131431
21.4,22.5,5.1,81.10000000000001,0.43555316863587545,0.43129573325498993
0.3,0.5,66.7,19.5,0.10472610096670247,0.11182490705931836
22.7,24.3,7.0,79.2,0.4253490870032224,0.42078106018284633
53.9,49.1,-8.9,95.10000000000001,0.5107411385606875,0.5071741473829188
5.7,6.6,15.8,70.4,0.3780880773361977,0.3721679689653746
1.9,1.9,0.0,86.2,0.4629430719656284,0.4610059542095833
9.2,11.4,23.9,62.300000000000004,0.3345864661654136,0.32747982223770356
6.1,6.1,0.0,86.2,0.4629430719656284,0.46062601550525467
7.1,6.5,-8.5,94.7,0.50859291084855,0.5086082871935713
28.3,32.3,14.1,72.10000000000001,0.387218045112782,0.38227130102401385
48.1,55.1,14.6,71.60000000000001,0.38453276047261015,0.38324186036937946
68.2,68.4,0.3,85.9,0.4613319011815253,0.4602110576553457
5.0,5.0,0.0,86.2,0.4629430719656284,0.4607205301716523
1.1,1.1,0.0,86.2,0.4629430719656284,0.4610843209093865
1.2,1.3,8.3,77.9,0.4183673469387756,0.4143814039467014
7.0,6.3,-10.0,96.2,0.5166487647690655,0.5171176529858411
